number,title,body
1312,[WeeklyReport] Weekly report for open-digger 6/5/2023 to 6/12/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 72 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 1 | 2 | 4 | 3 |

## PR Overview

Thanks to contributions from community, **3** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @Zzzzzhuzhiwei | 2 | #1308 add notebook for only using labeled data <br>#1309 update the supportedTypes <br> |
| @xgdyp | 1 | #1310 [Snyk] Upgrade @clickhouse/client from 0.0.15 to 0.0.16 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1313,"[Batch Label Data] Add and revise multiple label data for Database technical area labled on dbdb.io and DB-Engines Ranking by June 10th, 2023.","### Description

Description

I want to add some labeled data into OpenDigger to help us for our community analysis.
The data is based on a dataset fused by data from [dbdb.io]() and [DB-Engines]() by June 10th, 2023. It is an incremental version of labeled data submited in , which is based on data by May 7th, 2023.

Filter conditions: Collected by dbdb.io on June 10th, 2023 OR Rankings in the DB-Engines Rankings table on June 10th, 2023; Has open source license; Has repository link on GitHub.

**Features**: 
- A **new label** has appeared: **Vector DBMS**;
- The labels of a small portion of the data have **changed**.

Notes: The DBMS labeled dataset will keep updating incrementally at [birdflyi/db_feature_data_fusion]() each month. The list below is auto-generated by [wiget_autogen_issue_body_for_opendigger_submiting_labeled_data_issue]().

Label: Array

Type: Tech-1

Repos:

- EuclidOLAP/EuclidOLAP

Label: Key-value

Type: Tech-1

Repos:

- paypal/junodb

Label: Relational

Type: Tech-1

Repos:

- GlareDB/glaredb
- apache/flink
- gnocchixyz/gnocchi
- openGemini/openGemini

Label: Search engine

Type: Tech-1

Repos:

- vespa-engine/vespa

Label: Vector DBMS

Type: Tech-1

Repos:

- activeloopai/deeplake
- chroma-core/chroma
- milvus-io/milvus
- qdrant/qdrant
- semi-technologies/weaviate
- vdaas/vald

"
1315,[Bug] Incomplete label data for database open source projects,"### Current Behavior

In [database label data](), some dbms categories, such as [array](), [hierarchical](), [network](), [vector](), are not included in the label of [index.yml]() file, thus will cause miss counting when calculating the overall database open source data.

### Expected Behavior

Add the categories array, hierarchical, network, vector into the label list of dbms [index.yml]() file.

### Any Additional Comments?

A new category, i.e. [vector]() database system, has emerged due to the use of AI and Large Language Models(LLM). It has not been included in the label list of dbms [index.yml]() file."
1317,OpenDigger Biweekly Meeting: 2023-06-14,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：755-1645-1474([link]())

# Agenda
- We will discuss what happened in these two weeks~
- the projects‘  participants of Oendigger in OSPP2023"
1318,[WeeklyReport] Weekly report for open-digger 6/12/2023 to 6/19/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 72 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 4 | 4 | 2 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @birdflyi | 2 | #1314 Update Data: Update labeled data of Opensource DBMS with a github repo link based on dbdb.io and DB-Engines by June 10th, 2023. <br>#1316 Fix: Add labels array, hierarchical, network, vector to database index.yml and sort labels. <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1319,[Bug] Incomplete label data for amazon open source projects,"### Current Behavior

In [amazon label data](), the [bottlerocket projects]() were not included in the [index.yml]() file, thus will cause miss counting when calculating the overall amazon open source data.

### Expected Behavior

Adding [bottlerocket projects]() to the main amazon [index.yml]() file.

### Any Additional Comments?

_No response_"
1321,[Suggestion] Proposal to Start Using Releases for Version Management of Labeled_data and Metrics,"### Description

I would like to propose the introduction of releases as a version management practice for label data in OpenDigger. As of now, we haven't utilized releases to mark our project milestones or provide structured versions to users. By adopting GitHub releases, we can enhance our development process and improve user experience. Please feel free to share your suggestions."
1322,[Batch Label Data] Add more label data for generative artificial intelligence,"### Description

Description 
I want to add some labeled data into OpenDigger to help us for our community analysis. The data is based on a dataset fused by data from [GenOs Index]().
 
Label: Artificial Intelligence - Generative Artificial Intelligence

Type: Tech-1

Repos:

- significant-gravitas/auto-gpt
- nomic-ai/gpt4all
- facebookresearch/segment-anything
- huggingface/pytorch-image-models
- ggerganov/llama.cpp
- tatsu-lab/stanford_alpaca
- microsoft/jarvis
- reworkd/agentgpt
- openai/chatgpt-retrieval-plugin
- getcursor/cursor
- microsoft/deepspeed
- vision-cair/minigpt-4
- mckaywrigley/chatbot-ui
- yoheinakajima/babyagi
- jerryjliu/llama_index
- stability-ai/stablelm
- cocktailpeanut/dalai
- tloen/alpaca-lora
"
1325,[WeeklyReport] Weekly report for open-digger 6/19/2023 to 6/26/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 250 (↑1) | 73 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 4 | 2 | 3 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @PureNatural | 1 | #1323 data:Add more label data for generative artificial intelligence <br> |
| @Zzzzzhuzhiwei | 1 | #1320 fix: add bottlerocket to index.yml <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1326,OpenDigger Biweekly Meeting: 2023-06-28,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
- We will discuss what happened in these two weeks~
- The winning list of OSPP2023 has been publicly [announced]( )
- The suggestion of [the release of labeled data]()
- [Add more label data for generative artificial intelligence]()"
1328,[WeeklyReport] Weekly report for open-digger 6/26/2023 to 7/3/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 250 (-) | 74 (↑2) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 1 | 1 |

## PR Overview

Thanks to contributions from community, **1** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 1 | #1327 notebook: add xsosi for 2023.6 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1329,[Bug] The imbalance of the rate in XSOSI,"### Current Behavior

As the  shows that the rate of TieWay59 is 26.08% which is an imbalance mentioned in 
Do you know how to fix it?

### Expected Behavior

Can you please provide me with the appropriate XSOXI rate for May?

### Any Additional Comments?

_No response_"
1331,[Feature] Add type for meta data of owner,"### Description

I think owner's meta data should add a type field to mark whether the owner is `org` or `user`. 

e.g.
https://[oss.x-lab.info/open_digger/github/X-lab2017/meta.json]()


https://[oss.x-lab.info/open_digger/github/stevending1st/meta.json]()




Although github provides this interface, I still think it's a good feature."
1334,[WeeklyReport] Weekly report for open-digger 7/3/2023 to 7/10/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 250 (-) | 75 (↑1) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 3 | 3 | 1 | 1 |

## PR Overview

Thanks to contributions from community, **1** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 1 | #1332 feat: export owner type in meta data. <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1335,OpenDigger Biweekly Meeting: 2023-07-12,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
- We will discuss what happened in these two weeks~
 add an owner type with user or org in the meta data of each account.()
 We have release the [labeled_data_v0.0.1]() for the company
- The progress of OSPP2023 
- The progress of China Open Source report 2023 

If you have anything you want to discuss or learn about, welcome to discuss~"
1338,Please add below orgs into ByteDance org,"### Description

Beside the ByteDance and CloudWeGo，there are some other Github groups relate to ByteDance

- volcengine
- oceanengine
- larksuite
- byteplus-sdk
- bytehouse-cloud
- tiktok
- Pico-Developer
- byted-apaas
- DouyinFE
- kubewharf
- perfsee
- MBoxPlus
- arco-design
- web-infra-dev
- bytees
- ByConity
- visactor
"
1341,[WeeklyReport] Weekly report for open-digger 7/10/2023 to 7/17/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 75 (↑1) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 3 | 4 | 4 | 4 |

## PR Overview

Thanks to contributions from community, **4** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 3 | #1333 notebook: remove oss101 from xsosi <br>#1336 notebook: add xsosi annual report <br>#1339 label: modify bytedance data <br> |
| @xgdyp | 1 | #1337 [Snyk] Upgrade neo4j-driver from 4.4.2 to 4.4.11 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1342,[Feature] Add an activity detail file for users too.,"### Description

Right now, we have an `activity_details.json` file for exported repos by activity index, like [this]().

I think we should also add activity details for users activity index too which gives the most active repos for a user in each month."
1345,[WeeklyReport] Weekly report for open-digger 7/17/2023 to 7/24/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 1 | 2 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1348,OpenDigger Biweekly Meeting: 2023-07-26,"
# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
- We will discuss what happened in these two weeks~
 we release the labeled data of company, foundation and application domain. 
 Add an activity detail file for users.
- The progress of OSPP2023 
- The progress of China Open Source report 2023 

If you have anything you want to discuss or learn about, welcome to discuss~"
1349,[WeeklyReport] Weekly report for open-digger 7/24/2023 to 7/31/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 2 | 4 | 1 | 2 |

## PR Overview

Thanks to contributions from community, **2** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 1 | #1344 feat: add detail for user activity <br> |
| @lhbvvvvv | 1 | #1346 refactor: improve python kernel <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1350,[Feature] Add more info to meta.json,"### Description

Right now, we have a meta.json file for exported users, repos and orgs. We should unify the meta data structure.

All the meta.json file should contain the following fields:

- `id`: the GitHub id of the entity.
- `type`: the type of the entity, which could be `user`, `repo` or `org`
- `updatedAt`: the last update time of the data
- `labels`: all the labels for the entity

And for users and orgs which are repo owner, another field should be included:

- `repos`: contains all the repos exported for the owner, `id` and `name` should be included."
1351,"[Batch Label Data] Add more label data for Database technical area labled on dbdb.io and DB-Engines Ranking by Jul 24, 2023. ","### Description

I want to add some labeled data into OpenDigger to help us for our community analysis.
The data is based on a dataset fused by data from [dbdb.io]() and [DB-Engines]() by **Jul 24, 2023**. It is an incremental version of labeled data submited in , which is based on data by June 10th, 2023.

Filter conditions: Collected by dbdb.io on **Jul 24, 2023** OR Rankings in the DB-Engines Rankings table on **Jul 24, 2023**; Has open source license; Has repository link on GitHub.

Notes: The DBMS labeled dataset will keep updating incrementally at [birdflyi/db_feature_data_fusion]() each month. The list below is auto-generated by [wiget_autogen_issue_body_for_opendigger_submiting_labeled_data_issue]().

Label: Array

Type: Tech-1

Repos:

- dioptre/rasdaman
- marqo-ai/marqo

Label: Document

Type: Tech-1

Repos:

- chroma-core/chroma
- lancedb/lancedb

Label: Graph

Type: Tech-1

Repos:

- apache/age

Label: Key-value

Type: Tech-1

Repos:

- firstbatchxyz/hollowdb

Label: Object oriented

Type: Tech-1

Repos:

- orioledb/orioledb

Label: Relational

Type: Tech-1

Repos:

- ByConity/ByConity
- lingo-db/lingo-db
- man-group/ArcticDB
- orioledb/orioledb


"
1355,DAVx⁵ 4.3.4.1-gplay debug info,"Información de depuración adjunta a este mensaje (requiere soporte de adjuntos de la aplicación receptora).![davx5-debug.zip]()

"
1356,[WeeklyReport] Weekly report for open-digger 7/31/2023 to 8/7/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 4 | 6 | 3 | 3 |

## PR Overview

Thanks to contributions from community, **3** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 2 | #1353 feat: unify meta data <br>#1354 notebook: update xsosi 2023.7 <br> |
| @birdflyi | 1 | #1352 Update Data: Update labeled data of Opensource DBMS with a github repo link based on dbdb.io and DB-Engines by July 24th, 2023. <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1357,[Feature] Export label data for public use,"### Description

Right now, OpenDigger has label data for almost 10k repos, we can export the data for public use too.

We already export the labels to each org and repo, another thing is to export top level label data to certain path so users can use it to get all repos or orgs list for a certain label.

The URL could be {label_id}.json"
1360,the results of metric 'changeRequestsAcceptanceRatio'  is random,"### Description

As mentioned in the issue #1266 ，because there are many repositories that don't decline the PR , their metric 'changeRequestsAcceptanceRatio' is 1. I set 'limit' is 3, and 'order' is 'DESC' , however the result is random. There is no definite result.
![image]()
"
1361,OpenDigger Biweekly Meeting: 2023-08-09,"### Description

# Meeting
- 🕣Time: 12:00~12:30, Wednesday of every two weeks
- 📞Tencent Meeting：567-2249-5032([link]())

# Agenda
The overview of last two weeks
- #1350 
- #1351 
- #1357 

The progress of OSPP2023 
- As @lhbvvvvv mentioned in the issue comment #issuecomment-1646822709
- Another OSPP task: @Zzzzzhuzhiwei open the PR #1359 first, and further discuss. 

The progress of China Open Source report 2023 

If you have anything you want to discuss or learn about, welcome to discuss~"
1362,[Label Data] Add more bot account,"### Label

Bot

### Type

Bot

### Repos/Orgs/Users


- direwolf-github
- snyk-bot
- autotester-one
- TrellixVulnTeam
- codeserver-test1
- coveralls
- codecov-commenter
- turbocanary-admin
- codecov-io
- gitter-badger
- jenkins-x-bot-test
- favroautomation
- cjxd-bot-test
- xmo-odoo
- conda-forge-linter
- hubyeti
- autotesterunito
- idsb3t1
- regro-cf-autotick-bot
- git2e
- keksobot
- jsdelivrbot
- odoomergebotsacrifice-reviewer
- prisma-new-user
- favroautomations
- snek-testing-bot
- greenkeeperio-bot
- CLAassistant
- SecurletBeatle
- tf-vcs-testing
- codepathreview
- tf-vcs-testing-staging
- testmail-ihub
- codacy-badger
- utterances-bot
- npmcdn-to-unpkg-bot
- codeserver-service-qa
- shiftleft-prod
- shiftleft-staging
- JLLeitschuh
- code6er
- anthonysterling
- GHConnIT
- arbor-test
- githubvaladm
- fossabot
- JuliaTagBot
- dcoraboeuf
- PowerShellForGitHubTeam2
- prophecy-git-testing
- pyup-bot
- odoomergebotsacrifice1
- PowerShellForGitHubTeam3
- bryant1410
- ChadGoymer
- slskopytko
- PowerShellForGitHubTeam4
- freddydk
- elgohr
- cloudnativetoolkit
- bopopescu
- i-date
- octokit-fixture-user-a
- waffle-iron
- vanessa-cooper
- per1234
- shingoteshima
- codeschool-kiddo
- Mozilla-GitHub-Standards
- aws-aemilia
- wtools-bot
- PowerShellForGitHubTeam6
- slehiman
- QualitySoftwareDeveloper
- anaconda-pkg-build
- PhoenixHe-msft
- hail-ci-test-1
- githubteacher
- houndci-bot
- mergify-test2
- crowdbotics-apps
- afalko
- Kwaiseec
- idsdev
- TOMARUMARU
- Abbykawai
- claassistantio
- assignguard-support
- houndci
- github-terraform-test-user
- migueldelmazo
- dfkononov
- ReadmeCritic
- bitdeli-chef
- backstroke-bot
- shiftkey-tester
- Abbylii
- PowerShellForGitHubTeam
- Katsuno0814
- miyagit
- BoardGenius
- symphonyDev
- mikedeboertest
- ghsecuritylab
- johnsonr
- googlebot
- bkreider
- hail-hephaestus
- flathubbot
- BizinMitya
- s-aka-moto
- s2-testspace
- timgates42
- ryangribble-test2
- mgcvnrpj
- chirikuzu
- msftclas
- automationinfra
- tfttesting
- odoomergebotsacrifice4
- codeserver-test
- ocefpaf
- scala-steward
- shaybenb
- gmlewis
- zhangtianjiaoxyz
- priteshtest
- OlgaLugacheva
- bgruening
- fengjixuchui
- gruntjs-updater
- junta-m
- codacy-bot
- mdp-forks
- nus-se-bot
- ferambot
- slvfalcone-stg
- cclauss
- kovacsrobert
- ColonyTestUser1
- mortonfox
- ryangribble-test
- yutakatahira
- yuri240
- pastramahodu
- snewse
- slvfalcone-prd
- jakirkham
- TedLivist
- chepullreq3
- chepullreq1
- soc-se-bot
- TbctTestGitHubAdmin
- helpfulrobot
- nus-se-script
- chobi555
- nus-pe-bot
- jfrog-pipelie-intg
- pvm-test-bot
- svn2github
- alankstewart
- orthographic-pedant
- brianamarie
- jsru
- norito0627
- syuji-yamamoto
- cleancoindev
- lrz-hal
- rloterh
- gennady-bars
- jsfix-updater
- conda-forge-admin
- shodai-ito
- 0xflotus
- monocodus-demo-bot
- coolswood
- Descatles
- fino-qa
- actcattest001
- masahirokurauchi
- Hide-Morishita
- ZarMarathon
- kianmeng
- DanielRuf
- Saka-toku
- chepullreq2
- tenpadrummer
- JTOne123
- nus-pe-script
- kuu0123
- cbrueffer
- movermeyer
- snyk-code-test
- jenkins-x-labs-bot
- soc-pe-bot
- sthagen
- TakashiKozuma
- Richienb
- maimai0401
- kant
- mourlijuao
- motimen1
- AnnJohn
- pep8speaks
- kokikurahashi
- DevExpressExampleBot
- backstroke-bot
- argusSecurityBot
- prout-test-bot
- renovate-bot
- fossabot
- flathubbot
- platops-pr-bot
- nus-pe-bot
- jenkins-x-bot
- snyk-bot
- openshift-merge-robot
- landscape-bot
- edp-robot
- atlasBuildbot
- soc-se-bot
- nus-se-bot
- atomist-bot
- golangcibot
- prout-travis-bot
- gitcoinbot
- mention-bot
- soc-pe-bot
- cf-gitbot
- googlebot
- pyup-bot
- cs2103-bot
- openshift-ci-robot
- gatekeeper-bot
- step-security-bot
- codacy-bot
- facebook-github-bot
- cs2103-feedback-bot
- yunohost-bot
- deppbot
- openshift-bot
- pantheon-ci-bot
- DevExpressExampleBot
- houndci-bot
- utterances-bot
- cs2113-feedback-bot
- jsf-clabot
- openshift-cherrypick-robot
- cfdreddbot
- exercism-bot
- k8s-ci-robot
- keksobot
- web3-bot
- architectbot
- cisagovbot
- doppins-bot
- k8s-triage-robot
- xorimabot
- wtools-bot
- fejta-bot
- OCA-git-bot
- edx-requirements-bot
- paketo-bot
- ruebot
- AppVeyorBot
- hcsp-bot
- svc-excavator-bot
- dpebot
- pulumi-bot
- scala-steward-bot
- pvm-test-bot
- ballerina-bot
- dotnet-bot
- ByteLegendBot
- miq-bot
- knative-prow-robot
- asyncapi-bot
- react-translations-bot
- dotnet-maestro-bot
- dhis2-bot
- google-oss-robot
- kyma-bot
- violinist-bot
- kubevirt-bot
- reactjs-translation-bot
- vaadin-bot
- nsmbot
- sre-bot
- ti-chi-bot
- 47erbot
- yoshi-code-bot
- jsdelivrbot
- ti-srebot
- gitmate-bot
- brighid-bot
- tekton-robot
- depsy-bot
- cf-tm-bot
- k8s-merge-robot
- ti-community-prow-bot
- bitnami-bot
- helpfulrobot
- vscode-triage-bot
- everypoliticianbot
- greenkeeperio-bot
- jenkins-x-labs-bot
- npmcdn-to-unpkg-bot
- truecharts-bot


### Other information


All the accounts above are from the OpenLeaderboard by global developers' activity and OpenRank ranking list, the account who was active in more than 1000 repos in a year or with `bot` in the login."
1364,[Bug] the `updatedAt` value in certain users' meta.json lagged behind repos',"### Current Behavior

The user `tyn1998`'s (cache disabled):

<img width=""1920"" alt=""image"" src="""">

Repos' (and other users'):
<img width=""1920"" alt=""image"" src="""">


### Expected Behavior

All `updatedAt` fields of users' meta files should be in the same month.

### Any Additional Comments?

I even tried in another browser but also found [tyn1998' meta file]() has a `createdAt` equals to 2023-07-01"
1365,[WeeklyReport] Weekly report for open-digger 8/7/2023 to 8/14/2023,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 18 | 249 (-) | 75 (-) | 36 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 6 | 3 | 3 | 1 |

## PR Overview

Thanks to contributions from community, **1** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 1 | #1358 feat: export label meta data <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 1 |
| @Zzzzzhuzhiwei | 1 |


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
1366,[Metrics]How to use the provided JSON data？,"### Usage

For SODA openDigger Visualize the large screen

### Extract SQL

In the provided data source top300_metrics, I want to use this json data for visualization, so how does the front end get this data? Is the back end importing the database to create the interface or what?

### Does this dataset need to be updated regularly?

_No response_"
